년도,기업명,매출액,성장률,평균성장률
2015,쿠팡,1133700000000 ,,
2016,쿠팡,1915900000000 ,68.99532504,
2017,쿠팡,2684600000000 ,40.12213581,
2018,쿠팡,4435400000000 ,65.21641958,
2019,쿠팡,7153000000000 ,61.27068585,
2020,쿠팡,13300000000000 ,85.93597092,64.30810744
2018,크래프톤,20000000000 ,,
2019,크래프톤,12000000000 ,-40,
2020,크래프톤,95000000000 ,691.6666667,325.8333333
2017,바비리퍼블리카,20591080000 ,,
2018,바비리퍼블리카,54820880000 ,166.2360595,
2019,바비리퍼블리카,118730970000 ,116.5798324,
2020,바비리퍼블리카,176622390000 ,48.75848315,110.5247917
2018,위메프,429431110000 ,,
2019,위메프,465340580000 ,8.362102597,
2020,위메프,385342280000 ,-17.19134403,-4.414620715
2017,무신사,67721260000 ,,
2018,무신사,10816420000 ,-84.02802901,
2019,무신사,210312760000 ,1844.384186,
2020,무신사,300915710000 ,43.08010127,601.1454195
2017,지피클럽,49755790000 ,,
2018,지피클럽,513728710000 ,932.5003582,
2019,지피클럽,448642100000 ,-12.66945155,
2020,지피클럽,401690120000 ,-10.46535312,303.1218512
2017,엘엔피코스메틱,315572300000 ,,
2018,엘엔피코스메틱,314078750000 ,-0.473282985,
2019,엘엔피코스메틱,178190160000 ,-43.26577013,
2020,엘엔피코스메틱,174655110000 ,-1.983863755,-15.24097229
2018,에이프로젠바이오로직스,5497440000 ,,
2019,에이프로젠바이오로직스,10848740000 ,97.34167176,
2020,에이프로젠바이오로직스,14525350000 ,33.88974203,65.6157069
2017,야놀자,54527870000 ,,
2018,야놀자,73884860000 ,35.49925937,
2019,야놀자,151377460000 ,104.8829219,
2020,야놀자,191570550000 ,26.55156851,55.64458326
